"study","outcome.name","reference_condition","condition.name","estimate","std.error","prediction_combined","pg","ph","z_raw_combined","zg_raw","zh_raw","zc","zg","zh"
"ThorsonS42","Facebook","DVs second, misinformation","DVs second, misinformation, social media",-0.0159255982204446,0.0146030330473236,0.03071245283814,0.0166249056762801,0.0448,3.19372358519262,2.22902350431169,4.15842366607355,2.45768671398779,1.63144146203661,2.97397133840167
"ThorsonS42","Facebook","DVs first","DVs second, misinformation, social media",-0.0361261163929739,0.0126612439918819,-0.0280798090313806,0.0126403819372389,-0.0688,0.635506855941839,3.85163561822842,-2.58062190634474,1.41404180479347,3.30368939687447,-0.505028944620851
"ThorsonS42","Facebook","DVs first","DVs second, misinformation",-0.0202005181725288,0.0127166826429694,-0.0587922618695206,-0.00398452373904118,-0.1136,-3.03473356853234,1.27517489338722,-7.3446420304519,-1.41313431517843,1.31653607654653,-3.92672521515198
"ThorsonS42","National newspapers","DVs second, misinformation","DVs second, misinformation, social media",0.0130171342724591,0.0177094040077641,-0.0061952539881347,-0.0139905079762694,0.00160000000000005,-1.08486927353234,-1.52504523793618,-0.644693309128506,-0.961370345933281,-1.2416868962241,-0.68565296252952
"ThorsonS42","National newspapers","DVs first","DVs second, misinformation, social media",0.0403814464725453,0.0153762443507516,-0.0397359235673732,-0.0442718471347463,-0.0352,-5.21046415576782,-5.50545969979685,-4.9154686117388,-4.30371010966376,-4.29497268307714,-4.04458897964254
"ThorsonS42","National newspapers","DVs first","DVs second, misinformation",0.0273643122000857,0.0153954743942878,-0.0335406695792385,-0.0302813391584769,-0.0368000000000001,-3.95603150766966,-3.74432446069676,-4.16773855464257,-3.19144637991121,-2.94332385393034,-3.25808116087337
"ThorsonS42","Local Newspapers","DVs second, misinformation","DVs second, misinformation, social media",0.0242435893328214,0.016146949113974,0.00387978636341585,-0.00904042727316823,0.0167999999999999,-1.2611548364751,-2.06131922328193,-0.460990449668269,-1.34439170044186,-1.88817218115952,-0.867010643339798
"ThorsonS42","Local Newspapers","DVs first","DVs second, misinformation, social media",0.0385275592679717,0.0140082970130022,-0.00106139684676709,-0.0485227936935342,0.0464,-2.82610770445495,-6.21419954764721,0.561984138737298,-2.79842616775583,-4.74926896630272,-0.716568533117921
"ThorsonS42","Local Newspapers","DVs first","DVs second, misinformation",0.0142839699351496,0.0140258446168211,-0.00494118321018294,-0.039482366420366,0.0296000000000001,-1.37069486156121,-3.83337601580401,1.09198629268159,-1.24609887297118,-2.65964750323294,0.274496833696897
"Blair1131","Approve_Handling","Male, Republican, Eric, Stay out","Male, Republican, Erica, Stay out",-0.0358274388446832,0.0365507457786485,0.0357116451074676,0.0237930172620815,0.0476302729528537,1.95725374210945,1.63116934652514,2.28333813769375,1.62123711120881,1.30537378557516,1.78657391280027
