"location","label","value"
"Main text, para 7","GPT-4 miss rate (recalibrated)",0.357
"Main text, para 7","crowd miss rate (recalibrated)",0.38
"Main text, para 8","joint misses (n)",339
"Main text, para 8","joint miss rate",0.202
"Main text, para 8","same-side misses (n)",305
"Main text, para 8","same-side rate",0.182
"Main text, para 8","direction share given joint miss",0.9
"SI 2.1","Spearman correlation of standardized errors",0.51
"SI 2.4","observed mean co-error",3.62
"SI 2.4","permutation mean co-error",-0.001
"SI 2.4","permutation s.d.",0.182
"SI 2.4","studies with positive mean co-error",59
"SI 2.4","studies total",70
"SI 2.4","Wilcoxon P",5.626e-07
"Main text, para 9","null joint rate",0.141
"Main text, para 9","null same-side rate",0.1
"Main text, para 9","null direction share",0.712
"Fig. 1b","naive same-side null (ignores shared estimate)",0.068
"SI 1.4","same-side null, t(3)",9.6
"SI 1.4","same-side null, empirical",9.5
"SI 1.4","direction null, t(3)",67.6
"SI 1.4","direction null, empirical",66.8
"SI 1.6","joint rate 95% CI lower",0.149
"SI 1.6","joint rate 95% CI upper",0.264
"Main text, para 8","same-side rate 95% CI lower",0.134
"Main text, para 8","same-side rate 95% CI upper",0.239
"Main text, para 8","direction share 95% CI lower",0.841
"Main text, para 8","direction share 95% CI upper",0.949
"Main text, para 8","combined recovers | opposite-side joint miss",0.824
"Main text, para 8","combined still outside | same-side joint miss",0.954
"SI 2.7","comparisons with larger observed effects",752
"SI 2.7","comparisons with smaller observed effects",926
"Main text, para 14","same-side rate | larger effects",0.279
"Main text, para 14","same-side rate | smaller effects",0.103
"Main text, para 14","screening cell size",75
"Main text, para 14","same-side rate inside screening cell",0.56
"SI 2.7","same-side rate outside screening cell",0.164
"Main text, para 15","share of same-side misses erring towards zero",0.823
"SI 2.3","studies with a joint miss",46
"SI 2.3","studies with a same-side miss",43
"SI 2.5","deepseek/deepseek-chat-v3-0324: also misses same side",0.78
"SI 2.5","openai/gpt-oss-120b: also misses same side",0.76
"SI 2.5","gpt-3.5-turbo: also misses same side",0.67
"SI 2.5","google/gemma-3-27b-it: also misses same side",0.64
"SI 2.5","babbage-002: also misses same side",0.62
"SI 2.5","davinci-002: also misses same side",0.6
"SI 2.5","human: also misses same side",0.51
"Main text, para 12","expert miss rate",0.319
"Main text, para 12","GPT-4 miss rate (secondary archive)",0.303
"Main text, para 12","experts also miss | GPT-4 misses",0.816
"Main text, para 12","same side | both miss",0.989
"Main text, para 12","slope of expert error on model error",0.89
"SI 2.6","null: experts also miss | GPT-4 misses",0.347
"SI 2.6","null: same side | both miss",0.789
"SI 1.5","study-specific null: joint rate",0.16
"SI 1.5","study-specific null: same-side rate",0.103
"SI 1.5","study-specific null: direction share",0.642
"SI 1.5","studies assigned zero spread",21
"Main text, para 7","GPT-4 miss rate (unrecalibrated)",0.463
"Main text, para 7","crowd miss rate (unrecalibrated)",0.498
"SI 2.1","error correlation, recalibrated (pp metric)",0.59
"SI 2.1","error correlation, unrecalibrated (pp metric)",0.39
"SI 2.2","study-weighted joint rate",0.302
"SI 2.2","study-weighted same-side rate",0.248
"SI 2.2","smallest study, comparisons",1
"SI 2.2","largest study, comparisons",198
"SI 2.2","authors' scheme, 32 draws: joint",0.205
"SI 2.2","authors' scheme, 32 draws: same-side",0.183
"SI 2.2","authors' scheme, 500 draws: joint",0.209
"SI 2.2","authors' scheme, 500 draws: same-side",0.183
